senid,sentence
810367,C cho e xem Balô đc k c
810368,Xe này giá bn c
810369,Ban oi cho m 2 set bo san pham cham soc rang mieng
810370,Ship cho m den p1403 chug cu 249A thuy khue
810371,Sdt 0942376263 nhe
810372,Okie cam on ban
810373,Cho m 1 be boi dung den chung cu 249A thuy khue Sdt 0942376263
810374,Shop cho minh hoi quay bong bnhieu ah
810375,Mong shop hoi am Som De minh dat ah
810376,Va cho minh tung gia tunh loai voi
810377,Shop oi ib cho minh voi
810378,Ko thay shop tra loi minh the
810379,Cho minh xem hinh sai M vuong voi
810380,Sai M goc vuong ko giam Gia va ko dc tang tham ah
810381,Chup cho minh anh that voi
810382,The co dc tang tham Ko
810383,Ko giam dc nua ah
810384,Cho minh gia xe nay ah
810385,Quay ra đằng trước cũng dc pải ko ah
810386,Shop ib cho minh lôi đua da nag voi ah
810387,Có mấy mẫu vậy
810388,Ghe rung bnhieu ah
810389,Mau ghe rung lap bang pin có 2 mau xanh va hong ạh
810390,Shop co mau xanh con ech ko ạh
810391,Minh o qninh ship tnao ah
810392,Hang dep dam bao chu ah
810393,Tien ship thi bnhieu ah
810394,Gui qua shoope mat ship nhiu ko ah
810395,Shop cho minh hoi cai ghe nay bnhieu ah
810396,Shop co cai nay ko ah
810397,Mau i xi như nay cho minh xem ảnh của shop voi
810398,Va gia bnhieu ship tnao
810399,Ship qn bnhiu ah
810400,Shop co hop ban le nay ko
810401,Hang dep chuan thoai mai chứ ạh
810402,Co dem Kem Ko ah
810403,Minh o qninj ship ve bnhieu ah
810404,Vag dug rui ah
810405,Gia bnhieu cai nay ah
810406,Cảm ơn bạn Mình đo lại kích thước cửa rồi báo cho bạn bi t 
810407,Bạn có ship đi tỉnh ko vậy 
810408,Mua trên Shopee là shop của bạn luôn hả 
810409,Ship từ Hà Nội vào thì khoảng bao lâu mới có vậy bạn 
810410,Với bạn gửi cho mình link của thanh nối thêm luôn đi ạ
810411,Ship từ HN vào Biên Hoà Đồng Nai thì thường mất khoảng bao lâu vậy bạn 
810412,Ok bạn Khoảng 1 tuần thì được Tại tuần sau mình mới về tới VN nhưng ko ở lâu nên ko thể đợi n u mất cả tháng để ship 
810413,Vậy để mình nói người nhà bên đó order cho mình Cảm ơn shop nhiều nha 
810414,À bạn ơi cho mình hỏi thêm
810415,Cửa nhà mình 90 cm thì mua 1 cái cửa và 1 thanh chắn thêm hay sao ạ 
810416,Hut sua medela bao nhiu vay v
810417,Bo nay thi bn a
810418,Bo grab cui tre comfy do b
810419,Cai nay bn b 
810420,B oi m muon cpn diu be 450k thi thu 7 nhan kip ko
