senid,sentence
119303,Hqua có nhờ báo giá cái bồn tắm mà chưa thấy inb
119304,Báo giá giùm nha 
119305,Bể bơi n u phao cổ e có r bỏ ra có bớt tiền ko ad 
119306,E lấy bể bơi với cái thỏ tai dài
119307,Bao lâu có hàng chị 
119308,Ch oi may pha sua có cần đặt trc ko hay co san
119309,Co mấy màu E mun mua ạ
119310,Bạn cho hỏi máy dễ vsinh ko ạ 
119311,Lên mua trên shoppee hay ck shop ak 
119312,Cho e stk ạ 
119313,Võ thị ngọc tuyền A1 122 phạm hùng p vĩnh bảo rạch giá kiên giang 0948497989
119314,Dạ ok ạ 
119315,Hdan su dung sau ha ch
119316,Máy sài điện 110 hay 220 v ch
119317,Sữa mình để trong đó dc bao nhiêu ngày ch
119318,Nắp này sao cứng qa e ko mở ra dc v ch E sợ hư lun ak
119319,Hix cho e xin sdt nha
119320,Chị oi e có liên hệ với chị ben tư vấn máy tiny mà zalo vs dt chị ko có tloi Tại e đổi sữa giờ cái lượng sữa nó khác e định xin lại cái tỷ lệ của máy để e set lại hôm trước chị đó có nói bên tiny nó đã set lại cái tỷ lệ khác vs trên tờ giấy nên e mún xin cái tỷ lệ đó chị có ko
119321,Trả lời sớm gium e nha 
119322,Làm bi ng pha máy quen r tối thức pha tay mở mắt ko nổi đổ sữa tè le het hihi
119323,Có nhắn bên zalo cho bạn hướng dẫn mà k thấy tl ch oi
119324,Ch báo giùm e nha pha máy quen r pha thay mấy bua nay hoi đuối sức haha
119325,0948497989
119326,Hay ch lấy cái tips trong máy pha sua tiny đọc gium e tỷ lệ số mấy là bao nhiêu sua bao nhiêu nuoc e tự tính chứ đợi bên kia cung k thấy tloi j het ch oi
119327,Kích thuóc
119328,142*78*6x
119329,6x đó là cao của cái thành 2 đầu giuong hay cao của thanh ngang giuong v sh
119330,Vì giuong e cao khoang 60cm n u mình dchinh độ cao của giường bé lên ngang vs giuong mẹ dc thì ok e chốt cái xám nha
119331,Này mua trên shoppee có fship ko ạ E ở rạch giá kiên giang
119332,Cái đó ship rạch giá kiên giáng la bnhiu sh
119333,Mua shopee ko fship ha sh
119334,N u mua xe thăng bằng và em cầu tuộc này lun thi ship sao ạ 
119335,Rạch giá kiên giang ạ
119336,Cái trên giá nhiêu sh oi 
119337,Cái dưới chỉ còn hồng thôi s sh 
119338,Ship rạch giá kiên giang Cái toy house nhiêu ch oi
119339,Báo ship giúp e E gửi dchi nha
119340,Chị có nvien gửi chành xe giúp e nha Dc ko 
119341,Xe sài gòn tô châu gì cung dc ạ 
119342,Xe thiện minh là chành quen Ở lê hồng phong luôn đó ạ
119343,Bộ trong hình này giờ nhiêu luôn ạ Bua e cung tính mua lun mà ship 500k mắc quá N u ship nhà xe dc thì ship chung 2 cái lun
119344,Này nhieu nua ạ E lấy chung lun
