senid,sentence
621439,Em có đặt đơn bên shopee đấy chị
621440,Hauduy 90
621441,Em nhắn bên shopee ko thấy bên chị trả lời
621442,Bên chị có car seat ko ạ
621443,Bé nhà em 20m ạ
621444,Còn mẫu nào nữa ko ạ
621445,Loại 400 mấy với loại này khác nhau ntn b
621446,Cho em hỏi cái nhà banh bao nhiêu tiền ạ
621447,2 mau này ạ
621448,Em o sgon có ship ko ạ
621449,Phí cao ko ạ
621450,cho e xin giá máy hút sữa avent ạ
621451,giá chưa gồm ship ạ
621452,e xin giá medela pump luôn ạ
621453,bên mình có Lanshioh nữa k ạ
621454,bio c về thêm ạ
621455,e thấy trên shopee để giá avent là 5 560 ạ
621456,nhiet k hồng ngoại treennayf ghi 3xx mà shopee cũng cao hơn 490 ạ
621457,Bạn ơi mình cần mua thanh chắn giường
621458,Bên bạn có nhưngx mâuc nào chất liệu gì
621459,Cho mình 1 thanh 1m8 và 2 thanh 2m màu BE ship về 13 Hồ Tùng Mậu
621460,Ship trước 17h30 hàng ngày tránh khung giờ trưa 11h30 14h3
621461,Sđt 0398101450
621462,Bao giờ shop có hàng lại ạ
621463,Vâng th bạn để cho mình 1 bộ ship trong tuần tới nha
621464,Bạn ơi có hàng chưa ạ
621465,2 thanh 2m và 1 thanh 1m8 nha bạn
621466,Có video hướng dẫn lắp đặt k bạn
621467,Làm sao mà tấm chắn cố định xuống giường bé đẩy hay bám k bị đổ nhỉ mình chưa hình dung ra hiuhiu
621468,Có p khoan gì vào giường k ạ
621469,Giường p có thanh bên dưới mới đc hả bạn
621470,Giường nhà mình có tấm liền cơ
621471,Khó mô tả quâ để lát mình chụp giường cho bạn xem dùng đc k nha
621472,Bạn ơi giường nhà mình ntn thì có dùng đc k
621473,Nhà mình có đệm bạn ạ
621474,N u về mà giường nhà mình k lắp đc thì có đc gửi trả k bạn
621475,Hoặc đổi sp khác
621476,Okie bạn ship giúp mình
621477,Bạn ơi nhà mình k dùng đc r bạn ạ
621478,Cái đệm mỏng nhưng nó to sát lòng giường nên cố gài thanh vào nó vẫn bị trượt ra khi bé bám lên thành
621479,Mà bên bạn cũng đưa nhà mình bị nhầm thanh nối giữa thanh nhỏ ở giữa có 4 sz khác nhau
621480,Đổi sản phẩm khác hả bạn
621481,Mình cbi mua đồ ăn dặm cho con
621482,Để mình xem các sp bên bạn
621483,À hoá ra cái thanh dài là thanh nối 2 thanh trên dưới
621484,Nhưng ti c là cái đệm nhà mình nó bị to sát vào mép giường nên khi nắp k chắc đc
621485,Đây bạn này có 4sz khác nhau
621486,Nhưng mà 2 cái ngắn lại k có cặp hả bạn D
621487,Chắc ghép kiểu khác ạ hiu
621488,Nhưng mà quan trọng nhất là đệm nhà mình k đủ nặng để cố định được
