senid,sentence
492180,Bạn ơi Sản phẩm này còn hong vậy b ơi
492181,Còn ong này bao giờ có hàng nữa vậy b ơi
492182,Màu giống hình ko s 
492183,Còn gh này bn s 
492184,Gh này hơn 1 tháng tuổi ngồi đc ko s 
492185,Này có nhạc ko s 
492186,Có free ship ko s 
492187,Ship luôn bnhiu s 
492188,Vậy giờ m qua shopee mua đc ko 
492189,S cho m link nhe
492190,Xe đây kiêm xe đạp bnhiu vậy s 
492191,Xe này bn shop 
492192,Này bé mấy tuổi s 
492193,Trà vinh shop bnhiu shop 
492194,Lấy m cái này nhe s
492195,Ko thấy mẫu bô đó s
492196,Bên mình có gối baby moov k ạ
492197,Shop còn k ai
492198,Ship Cod k a
492199,Hà Nội ai
492200,Shop có sp này k
492201,Shop ơi n u mình lấy 2 mẫu này thì gép lại cho bự ra được ko sh
492202,Mẫu 9 tấm hít rùi hả bn
492203,Mẫu thảm cho pé về 2 loại lần trước mình hỏi rồi hả sh
492204,Seo mình thấy đăng mà
492205,Thảm này mình giặt bình thường được ko bn
492206,Tuổi thọ bình thường là bao lâu ạ
492207,Mình đặt mẫu sô 1 và 2 lun nha bn
492208,Về cần thơ nha b
492209,529a tổ 9 kv 1 phường hưng phú quận cái răng tp cần thơ
492210,Mình đặt qa shoppe nha
492211,Sau mình qa shoppe k có thảm dị bn
492212,Sh ơi sh có mẫu này k sh
492213,Giá bao nhiu dị sh
492214,Để mình đặt qa shoppe lun
492215,Shop mình có chi nhánh ở hcm k vậy shop
492216,Địu này giá bnh vậy ạ
492217,Cho m xin giá 2 loại xe này với
492218,Còn xe vovo thì sao hả b
492219,Hai xe này thì xe nào nhẹ hơn vậy ạ
492220,Cho e hỏi shop m bán hàng đ n mấy h ạ
492221,E muốn qua xem xe đẩy ạ
492222,Shop ơi còn thảm hình này k ship cho e với ạ
492223,Vậy shop ship cho e đ n 36D ngõ 189 Hoandg Hoa Thám với ạ
492224,Sđt 0854255305
492225,Shop cho e xin số tk e ck luôn tiền ạ
492226,Hnay ship luôn giúp e đc k ạ
492227,E nhận lúc 10h tối qua rồi shop ui
492228,Cho e lấy 1 cốc này
492229,Quai hồng ạ
492230,Hoàng Hoa Thám ạ
492231,36D ngõ 189 Hoàng Hoa Thám shop ui
492232,Vâng ok shop ạ
492233,Cho e lấy gh này mùa xanh với ạ
492234,Shop ơi check ib của e với
492235,Xe này giá sao shop 
492236,Đúng 3 bánh đúng hông ạ 
492237,Bên bạn còn thảm cho bé k
492238,Xpe 
492239,Giá bn vjay b
492240,1m8 2m dày 2cm k có à b
492241,Thảm cuộn b
492242,N k thích thảm gấpp
492243,Thảm cuộc đung tốt hơn gay gấp tốt hơn b nhỉ
492244,Cái nào bền hơn 
492245,Nhưng thảm cuộc k có m8 2m à b
492246,K có hay h t th b
492247,Thảm gấp gấp nh sau n rách v t gấp b nhit
492248,Để mình chọn hoạ ti t rồi b shhip cho m nhé
492249,Mình xem ảnh nào
492250,Mai b ship cho mình thảm gập nhed
492251,Chung cư newskyline nguyễn khuy n hà đông b nhé
492252,0931666625 nha
492253,Giao luôn giúp m nha
492254,B ơi có xe thăng bằng cho bé 5t k
492255,Em ơi máy tiệt trùng bình sữa bao tiền vậy
492256,Bên mình có thanh toán bằng thẻ ko bạn
492257,Cho mình 1 xe và 1 cái này nhé
492258,Buổi chiều mình có nhà
492259,Xe winfun xả kho 1xx 
492260,Xe này hihi
492261,Shop ơi cho chị hỏi xe tập đi
492262,Chị tìm xe tập đi cho con
