senid,sentence
636358,Có chăn mỏng đắp cho bé chống ngạt k ạ
636359,Thes cho e 1 khăn ạ
636360,Sảnh B chung cư Golden Palace Mễ Trì
636361,0972688708 ạ
636362,Xe này có k ạ
636363,Gh tập ngồi có màu hồng k ạ
636364,C có cốc nấu cháo cho bé ăn dặm k ạ
636365,Với y m ăn dặm nữa ạ
636366,E mua cả an
636367,Còn y m ạ
636368,Có y m bthg mà k có cái đựng k c
636369,Y m mỏng mỏng c
636370,Và cọ bình sữa nữa
636371,Có e lấy cả
636372,Búo bê này bnhieu ạ
636373,Ship luôn giờ dc k ạ
636374,Mai e sợ về quê T t
636375,Ship luôn trong hnay giúp e với ạ
636376,Book grab đi ạ
636377,Th cũng dc ạ
636378,Book luôn giúp mình nhé
636379,B ship cho mình sdt
636380,Đây có phải số grab đâu ạ
636381,Đây là sdt bạn cùng toà nhà với mình mà
636382,Sao mình lắp pin
636383,Nó k kêu
636384,Ad dc rồi ạ
636385,Ti ng nhỏ quá ạ
636386,Nó th hay do pin ak
636387,Xe vovo còn hàng ko b
636388,Đc mình ở đâu
636389,M qua xem chiều đc ko
636390,Chiều muộn
636391,Xe đó bạn bán bn
636392,B oi máy hút sữa pum like new này còn ko 
636393,Máy này dc bảo hành 1 năm ah 
636394,B tư vấn cho minh nhé
636395,Hàng này new bao nhiu ah 
636396,Phụ kiện thay moi cũng chính hãng chứ 
636397,Minh ko o Hà Nội chac fai mua qua ship
636398,Khi mua có huong dan su dụng tieng Viet ko b 
636399,Minh sẽ ck toàn bộ
636400,Huong dan sd thì b gui mail dc ko 
636401,Minh lay máy đã thay phụ kiện
636402,Shop còn sản phẩm này ko b 
636403,Có ship toàn quốc ko b 
636404,Minh ck truoc
636405,Nhưng hộp để đồ này có to lam ko 
636406,B ship cho minh về địa chỉ
636407,Nguyễn Thị Hoa Sdt 0985675630
636408,Ngân hàng Vietcombank chi nhánh Bắc Ninh ngã 6 phường Đại Phúc thành phố Bắc Nih
636409,Minh lay màu xanh
636410,B oi ib cho minh xin giá máy tiệt trùng Upang vs 
636411,Máy xay này giá bao nhiu shop 
636412,Cả bình ủ này nưa 
636413,Ship cho mình cả 2 san phâm nhe
636414,Bình ủ minh lay màu hồng
636415,Binh ủ có 2 dung tich la 500ml va 700ml ah 
636416,Ck hay ship code hả b 
636417,B ship ve Nguyễn Thị Hoa
636418,Ngân hàng Vietcombank chi nhánh Bắc Ninh Ngã 6 phường Đại Phúc thành phố Bắc Nhinh
636419,Minh ck dc ko 
636420,Bên bạn co tk vietcombank ko 
636421,Minh lấy cả máy xay và bình ủ nhe
636422,Minh gui roi
636423,B ko nhan dc ah 
636424,0985675630 nhe
636425,B cong tong đi minh ck
636426,B oi minh vua thay bên bưu dien ship hàng cho minh
636427,Nhưng hqua minh có nhắn la khi nao minh ck thì moi ship ma
636428,Minh ko dung code
636429,Sao hnay bên bạn đã ship
636430,Minh có thay đổi về đơn hàng đấy
636431,Hom qua minh định lấy cả máy xay và bình ủ
636432,Nhưng minh vua mua dc bình ủ rui
636433,Jo minh chỉ muon mua máy xay thôi
636434,Minh báo vs bên đó rui
636435,Neu chỉ lay máy xay thoi thì bên bạn có ship lại ko 
636436,Minh bao bên ship chuyển rui
636437,Ben bạn còn may tiet trung Upang ko 
636438,Bên bạn còn máy tiệt trung Upang ko 
636439,Ck truoc ah b 
636440,Còn màu j b 
636441,M muon lay màu cam
636442,Mà máy có huong dẫn sử dụng tieng Viet ko 
636443,B oi minh ck rui nhe
636444,2tr vao tk vietcombank of bên ban
636445,Ko b chuyen cho mih về địa chỉ nay nhe
636446,Sdt 0985675630
636447,Số nha 85 khu 7 Thị Cầu thành phố Bắc Ninh
636448,Truoc khi ship hang goi trc cho minh nhe
636449,Ah phí ship la bao nhiu b 
636450,Shop còn gối chống bẹt đầu babymoov ko 
636451,Có màu j ah 
636452,Ib minh giá nua
636453,Ah bạn oi
636454,Minh có mua máy tiet trung upang của shop
636455,Minh muon hỏi la bao lâu thì phai thay cac loại bóng 1 lần
636456,Và bóng này thì mua ở đâu nhỉ
636457,Xe đẩy này có nút gập ko 
636458,Nút gấp ở phần thanh đẩy đúng ko shop 
636459,Ib cho mình xin giá cụ thể nhe
636460,Minh mua hàng của bên bạn mấy lần roi ma
636461,Đúng rui nhe
636462,Mình ko quen đâu
636463,Xe nay mất nhiu phí ship ko 
636464,Vua to vua cồng kềnh
636465,Gần lắm
636466,Nhưng mình ko quen xe nao
636467,Ck toàn bộ
636468,B oi giá xả ko của jumperoo konig kids là bao nhieu 
636469,1 Upang màu cam còn lại giá bao nhiêu ah 
636470,Ib minh Giá máy nay
636471,Ship cho mình 1 bộ này nhe
636472,99k ship ah b 
636473,Cho minh stk Vietcombank
636474,Bạn oi mình Ck rui
636475,Nhưng quên ko ghi sđt
636476,Nguyễn Thị Hoa
636477,Sđt 0985675630
636478,Ngân hàng Vietcombank chi nhánh Bắc Ninh ngã 6 phường Đại Phúc thành phố Bắc Ninh
636479,Cho mình xin giá bộ này ah 
636480,Vs cầu trượt đơn này nua nhe
636481,Bộ liên hoàn này có rẻ hơn ko b 
636482,Mình ơ Bắc Ninh n u muốn mua bộ thứ 2 thì ship th nao 
636483,Mình muốn mua bộ này thì ship th nao shop 
636484,Cái này còn ko b 
636485,Ib mình giá 
636486,Cả thang và bệ ngồi phải ko shop 
636487,Có lắp dc tất cả các loại tolet ko b 
636488,Còn 1 bộ duy nhất thì giá th nao b 
636489,Mình cứ tưởng dc giảm thêm
636490,Mình chốt bộ này
636491,B nhắn số tk đi
636492,Còn 1 bộ thì bên b freeship nội thành cho mình nhe
636493,Lát mình Ck mình báo nhe
636494,Bạn oi cho mình hỏi bộ xi ch đu cầu trượt hôm qua mình đặt kích cỡ th nao Có to bằng bộ Hola ko 
636495,Còn loại 790k là loại nào shop 
636496,Bé nhà mình 4 tháng sử dụng đc k ạ
636497,Bóng pastel bán sao ạ
636498,Định mua chung với bể cho tiện luôn tại thấy bóng tặng ít quá ạ
636499,Mà shop có bán 30 quả đc k
636500,Vậy lấy cho mình bể bơi và 30 quả bóng nha
636501,Ship tới địa chỉ này giúp mình
636502,Mai Thị Qu Minh 0908330707 Địa chỉ số 07 đường số 11 khu phố Bình Quân 2 Phường 4 Thành Phố Tân An tỉnh Long An
636503,Cho xin giá tổng cộng đi ạ
636504,Dạ mai mình ck xong mình nt cho shop nha
636505,Mình đã chuyển khoản cho shop rồi ạ
636506,Shop kiểm tra lại nhé
636507,Sáng giờ cứ mong
636508,Shop ơi shop gởi hàng khi nào sao đ n nay chưa đ n nữa ạ 
636509,Bên bạn check vận chuyển chưa vậy shop ơi
636510,Tại thấy 1 tuần rồi sao chưa nhận đc mình cũng hay mua đồ ngoài HN chuyển vào thì khoảng 5 ngày là nhận đc rồi mà giờ chưa có nhận đc hàng nên sợ bị thất lạc thôi ạ Mong shop báo tin sớm cho mình nhé Cám ơn shop
636511,Mình nhận được bể bơi hồi tuần rồi nha shop
636512,Máy hút mũi giá bnhiu z e
636513,Hàng có dẵn hả b
636514,Ship hcm bao lâu nhận đc z b
636515,Z mình ck nhé
636516,Ok shop mình tìm hiểu thêm có j sẽ nhắn shop sau
636517,B ơi báo giá mình thanh chắn cầu thang với ạh
636518,Cái này b đ n lắp thì mới bi t thi u và thừa Ntn đúng ko ạh
636519,Cho mình đặt 1 bộ thanh chắn cầu thang nhé b
636520,Quây nhựa 180 2m phai ko
636521,Giao hcm nhà bè bao lau nhan duoc
636522,Gui nhanh duoc ko
636523,Qoa
636524,Tong bill cho minh di
636525,căn hộ D32 3 chung cư Phú hoàng anh 1 đường Nguyễn hữu thọ p Phước kiểng Nhà bè 094 2101609 
636526,Ship toàn bộ mình trả hả
636527,Bên shop ko chịu phí ship nào sao
636528,N u vậy tính ra mắc hơn lazada rồi
636529,Lazada 1 bộ chưa tới 5tr5
636530,N u vậy mình ko mua đâu
636531,N u ship q7 thì sao
636532,Vậy mình gửi địa chỉ
636533,Khoảng bao lâu mình nhận hàng được
636534,380 71 Lê Văn Lương Khu Phố 1 P Tân Hưng Q 7 Tp HCM đối diện 380 81 0963073064
636535,0948497590
636536,2 số dt nha
636537,Cho m xin giá bể bơi doctor dolphin nhé
636538,Bể bao gồm những phụ kiện gì shop nhỉ
636539,Shop lấy cho m 1 bể bơi với 1 set xúc cát luôn nhé Set xúc cát chọn giúp m màu cho bé trai vì mình mua tặng
636540,Địa chỉ chung cư 789 Xuân Đỉnh
636541,Sđt 0973565486 nhé
636542,Ship tầm chiều tối trở đi giúp m được không 
636543,Shop mình có sỉ ko c
636544,Ib giá shop ơi Gấp nhé 
636545,Tư vấn giúp mình ghê ăn dặm Vs ah
636546,Cho mình xin dc của shop
636547,Shop còn bộ này ko b ơi 
636548,B ship giúp mình nhé 
636549,Bé trai b ak
636550,Nhà g7 khuân viên đại học quốc gia hà nội
636551,144 Xuân thuỷ
636552,01686089793
636553,Tận 1 390k à b 
636554,Làm mình giật cả mình
636555,Chào shop Mình muốn hỏi thảm chơi piano cho bé Mình thấy shop trên sendo 
636556,Shop có thể gửi ảnh thật các mẫu hiện có giúp mình đc không 
636557,Gấu ôm mặt trăng là 369k hay yên bạn 
636558,Hai mẫu này có gì khác nhau bạn 
636559,Thảm thỏ kt bn bạn nhỉ 
636560,Ox mình lại thích màu cái thỏ Màu xanh kia con trai quá Bé nhà mình con gái 
636561,À thôi mình lấy thảm Gấu 
636562,Bạn ship giúp mình nhé 
636563,Chung cư viglacera 671 Hoàng Hoa Thám toà B 
636564,Sdt 0917559147
636565,Bạn ship hnay được không hay mai 
636566,Okie bạn Khi nào đ n gọi mình xuống lấy nhé 
636567,Bạn ơi mấy giờ bên bạn ship hàng cho mình 
636568,Mình nhận rồi bạn ạ Hàng okie nhé Cảm ơn bạn 
636569,Bạn cho mình hỏi giá 3 món đồ chơi này nhé 
636570,Con ngựa kia n u kéo bánh xe có rẽ được không hay chỉ đi thẳng thôi bạn 
636571,Mình lại muốn nó có thể quay đầu để dắt bé đi chơi 
636572,Shop có set đồ chơi của goryeo baby hàn quốc ko 
636573,Chậu tắm này kích thước như nào vậy ạ
636574,Bé nhà e hơn 2thang tắm có bị bé ko shop
636575,Cho e 1khan bé bú này ạ
636576,Cho e hỏi gh nôi này loại nào nhẹ nhất ạ
636577,Tầm mấy kg c ui
636578,Mẫu này bn kg ạ
636579,Nặng ph t nhỉ e cân nhắc xem như nào đã ạ
636580,Ship e chậu tắm phao vịt và khăn cho bé bú này ạ
636581,Alo mình gọi thuê bao ko liên lạc được ship mình hôm nay nhé
636582,Ôi mình nhắn lâu rồi mà ko thấy ship hnay sắp đồ đi chơi mới nhớ ra nhắn lại shop hic Ok shop
636583,C ơi gh này còn ko ạ
636584,C ơi e lại vừa lấy thanh l của 1 mẹ 800k rồi ạ E cảm ơn C 
636585,2 gh này thì mẫu nào là bản mới 2019 ạ
636586,Là mẫu nào ạ
636587,Mẫu này đúng ko ạ
636588,Bé nhà c 6thang thì nên mua chưa e c thích màu xe tập đi này
636589,Mà giờ sát t t
636590,Ko gửi dc nữa rồi
636591,Ra t t bạn gửi mình dc ko
636592,Xe này bé mấy tuổi là chơi dc vậy bạn
636593,Con mình mới 1 tuổi
636594,Thôi để lớn chút nữa mình mua
636595,shop ơi tư vấn m quây bóng cho bé trai và kt với ak
636596,mình muốn mua sz tầm trung k bé quá cũng k rộng quá
636597,mình đã tham khảo các mẫu của shop
636598,m muốn tư vấn về set này
636599,có bao gồm bóng rổ k shop
