senid,sentence
154109,B cho m hỏi chút đc ko núm này và núm avent bé nhà m đang dùng loại nào tốt hoen b
154110,Mình thấy núm này có chỉnh nha
154111,Đây là loại bé mình đang dùng
154112,Loại này có tốt hơn ko b
154113,Bên m còn loại nào tốt hơn ko b
154114,À là loại m đang dùng
154115,Vẫn tốt hơn hả
154116,Ib t giá b ơi
154117,Ib t giá màu hồng này
154118,Bên mình mở hàng chưa
154119,B ơi bên b mở hàng chưa
154120,bé nhà t 7 tháng
154121,à vậy à th t mua cái nhún thì có đc ko b
154122,nhún b có sẵn ko
154123,cho t giá
154124,cho t giá bộ quây luôn
154125,b gửi cho t xin ảnh mẫu jum nhảy màu cam chân thẳng
154126,Chân thẳng vs chân cong khác nhau gì ko b
154127,B ơi hic ntn đúng ko
154128,b ơi t muốn lấy cái này ko ai check ib à
154129,b lắp sẵn cho t nhé
154130,ship của t đ n tận nơi lấy
154131,đi ô tô b ạ
154132,để cốp sau vừa ko
154133,gập gọn vào giúp t
154134,Gập gọn để cốp xe đc đúng ko
154135,Ok b b chuẩn bị trc giúp t đừng thi u đồ gì nhé
154136,Bên b bh ntn
154137,ok b b lắp xong gấp gọn vào giúp t để lsao vừa cốp xe đc ko
154138,lát a ship của t qua lấy bảo lấy hàng cho trang nhé b đưa cho a giúp t
154139,b nhận đc tiền chưa
154140,Ib t giá
154141,Cái này n u ko dùng pha sữa mà để hâm sữa cho bình khác vào đc ko b
154142,Hay chỉ bình theo hãng thôi
154143,th lúc pha sữa lắc xong cho con ăn có phải tháo cái phần đựng sữa ra ko b
154144,hay cứ để nt cho con ăn
154145,ok t cảm ơn
154146,Mình cảm ơn nhé Mình xem thêm r có gì báo shop ạ
154147,Shop ơi mẫu này k có cầu trượt và có cầu trượt
154148,Th k có xích đu thì bn ạ 
154149,Cho em xin giá xe đạp với ạ
154150,c ơi cho em hỏi
154151,Ben minh có may hut sua nh hãng nào vậy ạ
154152,Medla
154153,Và hút đơn hay đôi ạ
154154,Day la 1 bộ đầy đủ
154155,Giá 2 7tr ak sh
154156,Co bao hanh hay gi k ạ
154157,Co gi e se lh xom ak
154158,Minh co nhan ship sang ha dong k ạ
154159,Sao mình xem ở trang nào ho bán có 1100 nhưng là bàn tròn sao ở đây bán lệch nhiều vậy
154160,Ko bớt được à
154161,Chiều cao khoảng bao nhiêu ạ
154162,P màu đấy của con trai à
154163,Mình toàn con gái
154164,Có gì mình liên lạc sau nhé
154165,Em nhầm nhà em có 2be trai chị ạ
154166,Bớt đi để em mua cho con em
154167,Vâng có gì em gọi Lại
154168,Shop oi cho mình 1 áo hút sưac rảnh tay
154169,2 loại này giá tnao va khacd j nhau ạ
154170,Cho mình xin giá xe vs ạ
154171,Cho mình lấy 1 xe màu hồng nhé ạ
154172,Ship đ n đchi 39 ngõ 185 Minh Khai quận HBT HN
154173,Sđt 0352563624
154174,Set này bên mình kích thước tính cả những chỗ thò ra của xích đu vs cầu trượt là dài rộng bao nhiêu ạ
154175,Sao trên shopee bạn bán hơn 2tr
154176,Mình thêm vào giỏ hàng vẫn là 2tr2 mà
154177,Kiện 1 bao gồm những gì ạ
154178,Vậy quây này giá bao nhiêu
154179,Thùng đựng của nó to ko nhỉ mình chở xe máy mang từ nhà này sang nhà khác đc ko bạn 
154180,Bạn ship cho mình đ n số 55 ngõ 121 Thái Hà nhé
154181,Mình lấy kèm thảm nhé bann
154182,Địa chỉ Số 55 Ngõ 121 Thái Hà
154183,Sđt 09 6314 6314
154184,À bạn ơi Bạn có cả máy hút sữa nữa à
154185,Cho mình hỏi medela điện đôi giá bao nhiêu
154186,Bạn có nhiều cỡ phễu ko nhỉ
154187,Thôi sáng nay t mua rồi Bạn ship quây cho t nhé ạ
154188,Bạn ship trc 4h30 giúp mình nhé N u ko kịp thì để mai ạ
154189,Bạn ơi Hôm qua mình mới mang quây về quê lắp
154190,Bị thi u mất cái thảm bạn ạ
154191,Hnay mình ko có ở đó bạn ơi
154192,Để mai nhé bạn
154193,Nay gia nhiều vay shop
154194,Báo giá e sp này ạ
154195,Con này to k shop
154196,Tai của nó là hoạt động bằng pin a lúc nào nó cũng cụp vào mở ra như vậy a
154197,Shop có con voi ú òa loại peek a boo của hàng xách tay k
154198,Báo giá quây bóng và size giúp mình nha shop
154199,Shop cho e hỏi bên mình có máy hút sữa medela phải ko ak
154200,Cho e hỏi Máy hơn 2tr thì là khác j với máy hơn 3tr ạ
154201,Khác ở động cơ hay ở phụ kiện ạ
154202,Phụ kiện thì là hàng mới h đúng ko ạ
154203,Chưa qua sử dụng phải ko ạ
154204,Bên mình có ảnh máy medela mà em khoanh tròn ko ạ
154205,S ơi cho mình hỏi còn máy này k ạ
154206,Shop cho mình lấy máy này nha
154207,Nguyễn ngọc kiểu lệ Đc 143 nguyễn tất thành tt tăng bạt hổ Huyện hoài ân tỉnh Bình định Số đt 0988484444
154208,Cho mình hỏi máy dùng tốt k ạ Với cả còn bảo hành đúng k ạ
154209,Vậy bạn có stk ari k ạ
154210,Cho mình số tk ari đi ạ
154211,S cộng tiền ship luon giup mình
154212,Ảibank có k ạ
154213,Shop kt lại giúp mình nha
154214,Khi nào s gửi S gửi sớm giúp mình nha
154215,À s cho mình hỏi máy này dùng bin hay phải gim điện ạ
154216,S ơi cho mình hỏi bình sữa medila này trụng được nướ sôi k ạ
154217,Vâng m cảm ơn nha
154218,Ship thái bình bn ạ
154219,Nội thành fs ko shop
154220,Còn gh ăn dặm ko shop ơi
154221,Gh này còn hàng ko shop
154222,395k 1 bộ ạ 
154223,Để mình 1 bộ nhé
154224,Vũ trọng phụng b ạ
154225,Lúc nào tạnh ráo giao cho mình cũng đc
154226,Vì mình đang về quê nhờ e mình lấy hộ
154227,Nhà số 10 ngõ 69 vũ trọng phụng b nhé
154228,0352659992
154229,Sdt e tớ nhận hàng đây
154230,Shop chọn cho t hộp chắc chắn t nhé
154231,Vì t chuyển về thái bình 
154232,Cái bộ này bao nhiêu shop
154233,Tu mau hog bnh ai
154234,C cho e xin gia size m va l nha
154235,May nay nua ah
154236,C oi neu e ko lấy bóng có đc giảm thêm chút ko ạ 
154237,Dạ e ở mĩ
154238,E muốn quây vs thảm thoi ạ
154239,Ma c oi ship Biên Hoà Đồng Nai mắc ko ạ
154240,C ơi c có thể gửi e coi hình thảm tảng kèm đc ko ạ link c gửi bên e ko coi đc í
154241,Shop oi ghe bn tien ah 
154242,E co hoi ghe an dam Mastela
154243,Ma ko thay ben minh tra loi
154244,E can ship gấp ne c màu đen
154245,Da c oi ship nhanh ko c
154246,Shoppee thi mat bao lau c
154247,Da c con mau đen ko ah
154248,Da vay de mai e ck cho c
154249,C oi cho e hoi thùng quây này nặng khoảng bn kg và kích thước kiện hàng là nhu nào ạ vi e gửi đi mĩ
154250,Da e cam on de e hoi lai roi e bao shop nhe
154251,C oi thảm gấp sale con bn ạ
154252,Ship cod đồng nai khoảng bn ạ
154253,Cai nay bn nua ah
154254,E lấy thảm gấp vs bình pha sữa này thì Ship cod đồng nai khoảng bn ạ 
154255,Oi vay fai ck truoc ah c
154256,Shopee dc ko ah
154257,Hic hic the luc day lai het dc sale roi
154258,Tai e ben mĩ bị trái giờ nên reply shop hơi chậm
154259,Dc giam ca 100 lai con dc lixi nua hihii
154260,E bên mĩ toàn xài hàng của shop mình
