senid,sentence
616466,May nay cong dung tnao b 
616467,Shop cho mình đặt thanh chắn giường 1m5 nhé
616468,Có ship nội thành hnoi trc t6 đc k shop
616469,Trước t6 nhé b người nhà mình còn mang về hp cho mình 
616470,Gh oto zaracos có xoay ngược lại cho sơ sinh k b 
616471,Gia ghe bn ban 
616472,Vay cho minh lay ca ghe nay va thanh chan giuong 1m5 nhe
616473,Hqa minh hoi b bao thanh chan 1m5 ship truoc t6 dc ma 
616474,Vay cu cho minh dat thanh chan giuong trc thoi b
616475,Neu den hom do con ghe thi cho minh lay luon
616476,Con giam gia k shop
616477,Máy nặng ko b 
616478,Shop ơi ship máy này cùng thanh chắn giương cho mình nhé
616479,1m5
616480,Shop cho minh xin stk de ck may tao do am nhe
616481,Máy nặng khoảng bn kg b 
616482,Tham xpe gia bn 
616483,Tham nay co thấm nuoc dc k 
616484,Tham silicon thi tham ha b
616485,Cho xin gia may hut mui bupen
616486,Minh hoi may hut mũi b oi
616487,Thanh chan giuong 1m5 ve chua shop
616488,Cho minh thong tin may hut mui comfy baby nhe
616489,Cho xin gia shop oiii
616490,Co dc freeship k b
616491,Minh o hai phong
616492,Minh lay hut mui comfy voi thanh chan 1m5 nhe
616493,Shop len don giup minh
616494,2 thanh gia bn b 
616495,Túi nice papa giá bn shop Cho mình thông tin sp luôn vs
616496,Cho minh thong tin bể dựng thành cao vs shop
616497,Shop cho minh 1 thanh chan 1m5 voi 1 thanh 2m va 1 tui nice papa mau xanh
616498,Be boi co san ko shop ship hai phong bao nhiu a
616499,Ship tat ca be boi 2 thanh chan tui nice pâp ve hai phong thi bao nhiu a
616500,Khoang bao lau co hang ha shop
616501,Minh order hnay co kip dot gio to hang ve k nhi
616502,Gui nha xe co giao tan nha k b 
616503,B check gium minh nhe vi hàng cong kenh nha minh xa ben xe lam k qa lay dc
616504,Vay shop len don cho minh nhe
616505,Ship về 13A2 lô 6B Lê Hồng Phong Hải Phòng 0947188688
616506,Trong goi sp co luon qua tang đồ chơi và bóng r dung k shop 
616507,Vay mai shop ship dung k a
616508,Shop oi hnay da chuyen hang cho minh chua 
616509,Minh nhan dc r shop a
616510,Shop con cốc richel k
616511,Cho minh 1 coc tai xanh nhe
616512,Cho minh ve 124 Minh Khai Ha noi a
616513,Ben minh co bat chong do k nhi
616514,Thu Hằng 0943838368 shop nhe
616515,Ok mai minh se ck cho shop
616516,Shop cho minh lay them 1 set nay ship luon cung coc richel nhe
616517,Duoc b a
616518,Van ck vao tk vietcom cu dung k b
616519,Tong hoa don bn shop
616520,Dung r ngo 124 minh khai toa chung cu 21 tang nhe
616521,Cho mình giá và các mẫu thảm xpe nhé shop
616522,1m5x2m la tham gap ha b
616523,1m5x2m chi co 2 mẫu thoi ha b
616524,Cho minh 1 tham nay nhe
616525,Ck bn a
616526,B oi tu sang den trua mai co ship dc luon cho minh k de minh ck a vi chieu ng nha minh mang giup ve hai phong
616527,B gui ship tranh buoi trua ra giup minh nhe
616528,Neu k kip sang thi chieu trc 5h nhe
616529,B den goi 0943838368 c Hằng
616530,Chi minh nhan hang
616531,Ship cua b thu chi minh 425k
616532,Tren hoa don con ghi ng nhan fai tra 425k nen c minh moi tra
616533,Bao gia minh set nay voi
616534,2 mau nay khac j nhau ha shop
616535,Sz 132x132 dang xa kho gia bn a 
616536,Cho mình kích cỡ và cân nặng đóng hộp nhé
616537,Minh free ship va lap dat dung k shop
616538,Shop ơi trc mình mua bể bơi thành cao ở đây
616539,Mà bị mất phao
616540,Shop có bán riêng phao k
616541,Quay nay sz bn shop
616542,Ship ve hai phong khoang bn ha b
616543,Ha noi thi co free ship k b
616544,Sz to hon gia bao nhiu a
616545,B oi quay nay ship ve minh khai ha noi thi co free ship k
616546,Cho minh kich co va can nang đóng hộp nhé
616547,B ơi quây này có cao thanh chắn giường k nhỉ
616548,Thanh chắn mình cũng mua của shop đó
616549,Chắn cao bn b 
616550,Vay cho minh 1 bo 132x132 nhe
616551,Minh lay them mũ gội đầu nua
616552,2 sp nay
616553,Mua qua shoppee dc freeship k 
616554,Mu goi dau vòng đầu bn ha b
616555,Minh thay shopee sz M de 1290k ma b
616556,2 mẫu khác nhau ntnao b tu van gium nhe
616557,Con loai nay cao bao nhiu a
616558,B cho minh kich thuoc va khôi luong dong hop cua mau ngoi nha nhe Vi minh dinh mang di nuoc ngoai nen fai hoi ki Thanks b
616559,Khoi luong bao nhiu a
616560,Mau nay dung k b 
616561,132x132 minh k lay bong thi bn a
616562,Vay cho minh doi thanh quay 990k nhe
616563,Voi mu goi dau
616564,Ship ve 124 minh khai ha noi
616565,B nhan ship mang len nha giup minh nhe di thang máy len tầng 18 nhà C1801
616566,Sdt 0943838368 c Hằng
616567,Cho minh stk de ck nhe
616568,B oi giao hang thi phai giao tan cua chu a Nhat la nhung hang nang ntnay Bt minh mua hang o dau khi shipper goi dien bao dang o duoi san ma yeu cau mang len ngta cung mang vi chung cu co khu vuc rieng de xe cho shipper Rat nhieu lan minh mua hang cua shop shipper den goi dien ma hang nhe la nguoi nha minh deu xuong lay roi Bh hang to nang ma be len nha cung lay 20k ha b 
616569,B gui stk de minh ck Vietcombank thi tot
616570,Kich thuot bn vay b
616571,Ship ve quy nhơn bn 
616572,B lay cho mih cái tủ gâu nha
616573,Cho mih tủ màu xanh
616574,B cho stk mih ck lun nha
616575,Chuyen về dchi nay jup mih nha
616576,346 6 7 hoang văn thụ quy nhơn bình định nha
616577,0938792456
616578,Đay nha b
616579,Bên minh gởi nhầm phụ kiện roi b oi
616580,Bị ngược mất rồi
616581,0938792456 ban nha
616582,có bô cho em bé mới tập ngồi bô không
616583,Shop cho mình thông tin mình ck nhé
616584,Mình chuyển bn thì đc shop ơi 
616585,Shop Gấu Bí Ngô Đồ dùng Mẹ Bé cao cấp mình lấy mẫu này shop nhé 
616586,Đc mình ở 35 85 Xô vi t nghên tĩnh p17 q bình thạnh HCM
616587,Phí ship là bn vậy shop 
616588,Để mình ck h t luôn ạ
616589,Khi nào mình nhận đc hàng vậy b 
616590,Đúng k shop ơi 
616591,Xô vi t nghệ tĩnh shop nhé
616592,Biên lai đây shop nhé
616593,Em nhận đc hàng r ạ Túi to và đẹp lắm ạ
616594,Xe này chuyển vào hcm bn b
616595,Có shopee k
616596,Còn k shop ơi cho mình giá lun nhé
616597,Bộ ăn dặm mình xem trên Page 349k mà b ơi 
616598,Hixxx h t km r ạ
616599,Mình lấy này b nhé
616600,Với tư vấn giùm mình địu comfy này với địu aag 024 ạ
616601,Ship mình địu màu ghi này với cốc tập uống màu như hình nhé
616602,Bửu 0906611040 Hiệu buôn Thành Hưng Quốc lộ 1A Ngã 3 Ngoài Tổ dân phố Phước Đa 3 Ninh Đa Ninh Hoà Khánh Hoà 
616603,Ship nhanh khi nào nhận ạ
616604,Mình vừa Ck b nha
616605,Này bao nhiêu b ơi
616606,Ship mình 2 sp này nha
616607,Tổng bao nhiêu ạ k lấy bao lì xì thì trừ vào tiền sp đc k ạ
616608,B ơiiii t lời mình với
616609,Vậy giờ mình đặt có đc khuy n mãi k ạ
616610,Bao nhiêu h t ạ
616611,Vậy t7 ship mình 2 sp í nha tks ạ
616612,Còn 2 sp này lun k b ơi
616613,Gối bảo vệ còn mẫu nào nữa k ạ
616614,Mình lấy thêm bể bơi nữa b nha
616615,Loại tốt đúng k ạ
616616,Mình vừa ck r ạ
616617,A Bảo 0937664144 Đ c 218 12 Nguyễn Duy Cung P 12 Q Gò Vấp
616618,T3 có hàng ship nhanh hộ mình đc này nha b ơi vì mình ở đấy 1 tuần thôi ạ
616619,Okie ạ ship nhanh m nhé
616620,Ship thường thì bao nhiêu ngày nhận ạ
616621,Vậy chiều có ship mình lun nha
616622,Ship thường đc đấy ạ
616623,Hàng mình đặt vẫn chưa nhận đc ạ
