senid,sentence
338083,Ok shop Mua nhanh gon nhe
338084,Mjnh cung k thich lam kho de shop
338085,Nhung hang cham wa
338086,Con minh van chua dc an
338087,Ua Mai gui ha shop
338088,Chu k phai hnay ha
338089,Minh nhan hang ma co em be chua ktr kĩ
338090,Thay ok nhung doi chieu chong minh ve xem roi rap minh bao lai shop nha
338091,Minh thanh toan them 806k
338092,Ok Thanks shop da nhiet tinh ah 
338093,Ok Ko sao nha shop Du j hang cung da co roi
338094,Ship q1 sg bnhiu ah
338095,Hn ship bao nhiêu ah
338096,quận nội thành
338097,63 chùa bộc ah
338098,Shop báo giá mình máy hút sữa đôi medela pumd đôi với ạ Cảm ơn shop
338099,Dạ máy new là bao nhiêu ạ like new có chính sách như new không ạ Và giá 2 sản phẩm là bao nhiêu ạ
338100,Dạ Giá của like new là bao nhiêu ạ 
338101,New có giá bao nhiêu ạ
338102,Dùng như new phải không ạ 
338103,Dạ N u mình đặt mua thì chuyển khoản rồi shop ship cod ạ 
338104,Dạ Cảm ơn shop Khi nào mua hàng em inbox lại shop ạ
338105,Chào shop Shop báo giá giùm mình ạ
338106,Shop ơi shop còn chương trình mua quây cũi tặng thảm ko 
338107,Mình xem trên web thấy size M góc tròn giảm còn 2tr1 có đc áp dụng cùng ctrinh tặng thảm ko 
338108,Nhà mình chật đang muốn mua size M thôi
338109,Mà muốn lấy thảm silicon cơ
338110,Size M trên web đang thấy để 2tr1 mà
338111,Khác nhau ak shop 
338112,Cái này bao nhiu tiền shop
338113,Túi hâm sữa này còn k bạn
338114,Bạn đang trả lời giá cái nào th 
338115,Túi hâm sữa hay là địu
338116,Giá h t mai là gì
338117,Điu còn những mầu gì
338118,Túi hâm sữa có nhưng mầu gì vậy
338119,Túi hâm sữa KM h t ngày mai à
338120,Cho một túi hâm sữa
338121,Và một địu
338122,Mầu đỏ đun nhé
338123,Mai ship hàng được k shop
338124,Số của mình
338125,Số nhà 59 ngõ 455 vũ tông phan nhé
338126,Trước khi ship alo mình nhé
338127,K ship hàng hả ấy ơi
338128,Gần h t ngày rồi mà chẳng thấy đâu
338129,Tại chẳng mấy khi nhận hàng tối nên là phải hỏi lại
338130,Bạn bảo ship giúp mình
338131,Từ giờ tới 8h tối thôi
338132,Đừng giao muộn quá
338133,Tối lên gác tắt điện rồi ngại xuống mở cửa lắm
338134,Bạn ơi sao tớ đặt hàng cả túi hâm sữa mà lại k thấy giao hàng
338135,Ship vừa giao tới có mỗi địu là sao
338136,Túi hâm sữa là cái tớ đang cần hơn cả cái điu kìa
338137,Giờ làm sao
338138,Ngày hôm nay giao túi hâm sữa cho tớ nhé
338139,Kẻo quên lại k được giá KM
338140,Có giao hàng cho mình được trong tối nay k th b ơi
338141,Cậu ơi vẫn chưa gửi ship à
338142,Bảo sáng nhận mà có thấy hàng tới đâu
338143,Cảm thấy hơi chán khi cứ phải hỏi đi hỏi lại
