senid,sentence
348028,Cho em hộp nhạc ship cùng robot nhé
348029,Chị cho em xem bộ câu cá đc ko ạ
348030,Thấy các bạn chỗ em hay mua bộ câu cá
348031,Vậy chốt robot và hộp nhạc c nhé
348032,Hộp nhạc e thấy sale mà chị
348033,N u ko có giá sale em ko lấy hộp nhạc c nhed
348034,Vậy cho e bảng số học nhed
348035,Vậy em lấy robot c nhé
348036,Chị ns bảng số h t hàng ma
348037,Cụ thể giờ chị có cái gì ạ
348038,1 con màu trắng ạ
348039,em lấy ít thứ với chị xem còn hàng gì báo em mhes
348040,2 chi c nôi giường
348041,báo giá em nhé
348042,để em bán cho khách
348043,balo giá bn đó ak
348044,em lấy 5 xanh 3 hồng nhé
348045,có bớt ko bạn ơi
348046,mình lấy về bán nè
348047,mình lấy 10 chi c nha
348048,mình ở Hà Tĩnh
348049,6 xanh 3 hồng 1 ghi
348050,gửi cho em ảnh mà bên mình ko có logo để em up face được ko ạ
348051,để em ck luôn nha
348052,tổng là 2 4 tr nhỉ
348053,gửi nhà xe Văn minh giúp m nha
348054,hôm qua em chưa ck được bận quá
348055,bây giờ em ck cho chị nha
348056,nhớ giữ hàng giùm em nhé
348057,chị Thuỷ ơi
348058,chuyển hàng cho em nha
348059,em lấy 10 balo Vcool
348060,gửi cho em theo xe Văn Minh nhé
348061,bên chị có nhận được tin nhắn ko ạ
348062,Tháo bàn đạp dễ ko b 
348063,Còn xe màu đen ko b 
348064,B ơi xe như bên trên mình gửi ship về hải phòng bn 
348065,May cai nay con k shop
348066,B owi xe nay ko ve them ah 
348067,Quây này size và giá sao b oi
348068,Sz này sz j b oi
348069,B ơi mấy sp này còn ko b
348070,Cho m lấy 1 thanh chắn giường 1m8 màu be
348071,Có p loại này ko b
348072,Cho t lây 1 bộ quây cũi sz M màu xanh
348073,T ở tp hải dương
348074,T ckhoan hay ntn
348075,báo giá m đi
348076,cho m stk vcb
348077,t lấy thanh chắn giường thôi
348078,chờ b lâu quá
348079,thanh chắn giường có bán qa shopee k nhi
348080,thanh chắn giường m8 giá bn b
348081,thảo trần biệt thự số 3 phố Trương Đỗ phường Trần Phú tp Hải Dương sdt 098282 7567
348082,B ơi gửi m 1 thanh chắn giường m8 màu be nhé
348083,B gửi hàng cho m chưa bạn
348084,Shop ơi mình đg dùng medela pum nh mấy bữa nay hút thấy đau đầu ti mà hút ko cạn sữa
348085,Hiện có loại nào hút êm Và cạn sữa
348086,Loại nào ok nhất b tư vấn nhé
348087,Thôi mình sợ medela r 
348088,Sao mình thấy có loại avent j mà có hơn 4tr hay sao 
348089,Có hơn 3tr
348090,Máy đơn à
348091,Máy đơn thì lực hút các thứ như nào
348092,Hay chỉ khác là có 1 bên thôi
348093,Ok b để mình tham khảo thêm nữa
348094,Còn dòng spectra s1 thì sao
348095,So sánh vs avent thì cái nào hoen ạ
348096,Thấy cũng nhiều ng khen
348097,Còn cái avent comfort thì giá sao ạ
348098,Cái hoa tuy t chỉ khác kaf nhỏ gọn đỡ ồn thôi đúng ko ạ
348099,Còn về hút êm lực hút và hút cạn thì cũng như nhau ạ
348100,So sánh 2 cái đó khác j nhau ạ cái nào hơn
348101,B ơi n u mình lấy cái hoa tuy t mà ko lấy quà tặng thì giảm giá cho mình nhé
348102,Vì những quà đó mình có h t r
348103,Có 2 3 cái luôn 
348104,Mình hiểu r nh những quà tặng đó mình có h t r B có thể giảm cho mình đc k
348105,N u đc thì ship luôn cho mình nhé
348106,Hút pum đau ti quá r nên sợ ko dám dùng nữa hixx
348107,B ơi đc ko vậy vì mình đg cần luôn bên shop gia phú cungc có và gần nhà mình hơn 
348108,Giá nhau chỉ khác bên bạn nhiều quà tặng hơn nh mà toàn những thứ mình có h t r Nên mình ko lấy quà tặng b giảm đc bn thì giảm
348109,Hoặc cho mình đổi lấy bình sữa núm ti giá trị tương đương cũng đc Ao hút mjnhf có 3 cái dây làm sạch mình cũng có túi giữ lạnh vs pack đá mình cũng ko dùng đ n
348110,B trả lời sớm để mình chủ động mua nhé để Tối mình có máy hút sữa luôn
348111,Phụ kiện đầy đủ của máy gồm những j vậy b
348112,Mình đg bỏ ra kiểm tra
348113,Mình ko biét nên hỏi
348114,Shop có tài liệu gì về các phụ kiện cách lắp ráp vac sử dụng ko
348115,Vậy vs máy này thường sẽ massa và hút trong bao lâu
348116,B ơi máy này có kèm cả phụ kiện để lắp vào hút tay ko
348117,Mình thấy quảng cáo hình như có chạy điện chạy pin và cả hút tay nưax
348118,Tất cả phụ kiện và máy đây b ơi
348119,B xem đủ chưa
348120,Lúc mẹ mình bóc chả để nguyên hộp hay ko nữa
348121,Nên mở ra mới đg loay hoay lắp
348122,Về ch độ bảo hành đổi trả các thus th nào b
348123,B ơi mình mua máy avent hoa tu et đôi bên bạn 6950k Mua hôm 5 1 j đó Giờ mình h t sữa nên k dùng tới nưax thì bên b có nhận thanh l k
348124,Vs b cho mình hỏi thanh l máy hoa tuy t luôn
