senid,sentence
422601,Phải đục lỗ vào giường ạ 
422602,Shop có Clip ko ạ
422603,Mình lấy 3 thanh 1m8
422604,Ship giúp mình về địa chỉ ở Hải Dương nhé
422605,Mình ko thấy thanh chắn trên shopeee
422606,Mình muốn thanh toán code
422607,2 bộ này giá bn shop
422608,Tông đơ này mua ở đâu bạn
422609,Giá bn bạn oi
422610,Cho minh hinh anh cu the nhe
422611,Bánh xe có xoay 360 ko bạn
422612,Mình đang cần mua gh ăn dặm cho bé loại điều chỉnh đc các tư th nâng hạ độ cao bàn ăn phẳng hoặc chỉ có ít nhất 1 khay ăn thôi nhưng gh ngồi thoáng lưng bạn ạ Ko có nhiều bọc da hay nỉ vì thực ra ở mình vào mùa hè rất nóng ko phải lúc nào cũng bật điều hoà cho con ngồi ăn dc
422613,Mình thấy kiểu gh ăn như này khá hợp l rồi giá cả tính năng và khi nào có hàng vậy bạn
422614,Híc có hàng mẫu rồi mà ko ỏde về đc à bạn
422615,Nó ko bán mẫu à bạn
422616,Mấy mẫu có sẵn mình ko ưng lắm
422617,Gh này có những tính năng gì bạn
422618,Nhà bạn có xe tập đi ko
422619,Loại nào tốt nhất bạn ơi
422620,Mà bé ko bị kẹt chân 
422621,Bao nhiêu tiền bạn
422622,Sn5 ngõ 82 phố dịch vọng hậu
422623,0357156789
422624,Mẫu này lắp chung cho tất cả các cầu thang kích thước khác nhau à bạn
422625,Bạn có nút bịt ổ điện ko
422626,60k 1 cái à bạn
422627,Giá kệ này bn em ơi
422628,Loại nào hơn 600k vậy e
422629,Em ơi ship cho chị 20 nút bịt ổ điện và 1 bộ thanh chắn nhé
422630,Loại chắn cầu thang 
422631,Cho mình 20 cái bịt ổ điện và 1 thanh chắn loại 74 85cm cộng với thanh nối 36cm
422632,Sn5 ngõ 82 phố dịch vọng hậu 0357156789
422633,Bạn reep chậm th 
422634,Bạn ơi mình lấy 1 thanh chắn cửa
422635,Những đồ sau giá bn bạn
422636,Bạn có nhà như này ko
422637,Cho mình xin giá và chiều cao xe nhé
422638,Bạn ơi ship cho mình bộ này nhé
422639,Mình lấy loại có thêm thanh nối ấy nhé
422640,Bạn ship tối nay hoặc chiều mai vì sáng mai mình k nhận đc
422641,Bộ này bn vậy Shop ơi
422642,Shop ơi k bán trên shopee nữa ạ
422643,E cần cái ti giả í shop
422644,C ơi cái avent chống vẩu cơ ah
422645,Có về nữa k ạ
422646,Máy hút mui bn đấy shop ơi
422647,Shop oi t ship cho mình ty giả combi size 0 3m đc k
422648,Số nhà 36 ngõ 91 đường hoàng mai
422649,Ty này có mềm k ạ
422650,Có loại nào nữa k ah
422651,Combi có size k ah
422652,S là nb ạ
422653,0974725183
422654,Đ n cứ bấm chuông
422655,Mình mới sinh sợ có lúc k mang đt
422656,Shop ơi ty giả mua về tiệt trùng qua nước sôi trước rồi mới dùng hay ntn vậy
422657,Bạn ơi th ty giả có cái nắp bên ngoài thì đậy lại như nào
422658,Mình nắp lại nó k chặt í
422659,Cứ bung bung
422660,Cái hình tròn í
422661,Ơ sao mình k đậy chặt nắp màu xanh da trời ấy đc v shop oi
422662,Shop cho em hỏi shop có bán loại phao và hồ bơi nz k ạ
422663,Bạn cho mình xem mẫu bể bơi nha
422664,Giường đó chiều dài chiều rộng bn ạ
422665,Ship hcm bn nua ạ
422666,Cho e hoi gia vs xe minh con mau xanh nay ko shop
422667,Cam on shop nha minh mua dc roi
422668,Bên bạn còn cái này ko
422669,Ship luôn cho tớ ra Time dc ko
422670,Tớ đang ơ đây
422671,Chắc 11 h thôi
422672,Tớ tên Thảo
422673,Ều
422674,Gần mà đắt th 
422675,Hề
422676,Ship ra trường đại học kinh doah công nghệ Hà nội
422677,Dưới chân cầu Vĩnh tuy
422678,Cho tiện đường
422679,Nhanh nhanh để chị còn về
422680,Cho chị Sđt ship
422681,Ib tớ giá giường đê
422682,Đã giao hàng cho e chưa
422683,Mấy hôm máy hỏng
422684,Cứ giao địa chỉ cũ
422685,Bên mình có cả bán buôn ah
422686,Cho mình chính sách và Thông tin với
422687,Ship hàng cho chị chưa
